id	path	data_structure	algorithm	dynamic_size	explicit_loops	target_loops	required_features	status
vector-campaign-goal	demos/vectors/campaign_goal.mlpl	vector	prefix-sum-goal-search	yes	0	0	current	constrained
stack-browser-back	demos/stacks/browser_back_history.mlpl	stack	browser-back-navigation	yes	0	0	current	constrained
queue-printer-jobs	demos/queues/printer_jobs.mlpl	queue	fifo-printer-scheduling	yes	0	0	current	constrained
deque-service-desk	demos/deques/service_desk.mlpl	deque	urgent-front-regular-back	yes	0	0	current	constrained
linked-list-delivery-route	demos/linked_lists/delivery_route.mlpl	singly-linked-list	insert-after-and-traverse	yes	3	0	current	constrained
linked-list-editable-route	demos/linked_lists/editable_delivery_route.mlpl	indexed-doubly-linked-list	bidirectional-insert-delete-traverse	yes	0	0	current	constrained
linked-list-ordered-directory	demos/linked_lists/ordered_directory.mlpl	indexed-four-level-skip-list	deterministic-insert-lookup-delete-traverse	yes	0	0	current	constrained
persistent-list-alert-feed	demos/persistent_lists/alert_feed.mlpl	persistent-cons-list	prepend-and-recursive-traverse	yes	0	0	current	constrained
persistent-list-expiring-alerts	demos/persistent_lists/expiring_alert_feed.mlpl	persistent-cons-list	recursive-stable-cutoff-filter	yes	0	0	current	constrained
heap-incident-priority-queue	demos/heaps/incident_priority_queue.mlpl	binary-min-heap	priority-queue-scheduling	yes	0	0	current	constrained
set-feature-flags	demos/sets/feature_flag_bit_set.mlpl	bounded-bit-set	set-clear-membership	no	0	0	current	constrained
map-warehouse-direct	demos/maps/warehouse_direct_map.mlpl	direct-address-map	insert-update-lookup-remove	no	0	0	current	constrained
hash-device-workers	demos/hashing/device_worker_assignment.mlpl	numeric-bucket-table	deterministic-integer-mixing	no	0	0	current	constrained
map-sparse-meter-hash	demos/maps/sparse_meter_hash_map.mlpl	open-address-hash-map	linear-probe-insert-lookup	yes	0	0	current	constrained
map-meter-tombstones	demos/maps/meter_tombstone_reuse.mlpl	open-address-hash-map	delete-and-tombstone-reuse	yes	0	0	current	constrained
map-growing-meter-hash	demos/maps/growing_meter_hash_map.mlpl	resizable-open-address-map	load-factor-resize-rehash	yes	0	0	current	constrained
map-chained-sensor-registry	demos/maps/chained_sensor_registry.mlpl	separate-chaining-hash-map	indexed-chain-insert-delete-resize	yes	0	0	current	constrained
cache-recent-routes	demos/caches/recent_route_cache.mlpl	numeric-lru-cache	lookup-promote-evict	yes	0	0	current	constrained
tree-team-hierarchy	demos/trees/team_hierarchy_traversals.mlpl	binary-tree	representation-conversion-traversals	yes	0	0	current	constrained
tree-persistent-reservations	demos/trees/persistent_reservation_index.mlpl	persistent-bst-map	search-path-rebuilding-insert	yes	0	0	current	constrained
tree-persistent-cancellation	demos/trees/persistent_reservation_cancellation.mlpl	persistent-bst-map	immutable-structural-delete	yes	0	0	current	constrained
tree-balanced-dispatch	demos/trees/balanced_dispatch_index.mlpl	persistent-avl-map	cached-height-insert-rotations	yes	0	0	current	constrained
tree-order-statistic-leaderboard	demos/trees/live_leaderboard_rank.mlpl	persistent-order-statistic-avl	cached-size-rank-select-and-insert	yes	0	0	current	constrained
tree-appointment-conflicts	demos/trees/appointment_conflicts.mlpl	persistent-augmented-interval-avl	cached-maximum-overlap-search	yes	0	0	current	constrained
tree-warehouse-range-analytics	demos/trees/warehouse_range_analytics.mlpl	persistent-segment-tree	point-update-range-sum-minimum	yes	0	0	current	constrained
tree-cumulative-shipments	demos/trees/cumulative_shipments.mlpl	immutable-fenwick-tree	point-add-prefix-and-range-sum	yes	0	0	current	constrained
tree-numeric-prefix-routing	demos/trees/numeric_prefix_routing.mlpl	indexed-decimal-digit-trie	exact-and-longest-prefix-routing	yes	0	0	current	constrained
tree-page-index	demos/trees/page_index.mlpl	immutable-order-three-btree	search-insert-split-root-growth	yes	0	0	current	constrained
tree-page-index-retirement	demos/trees/page_index_retirement.mlpl	immutable-order-three-btree	delete-borrow-merge-root-contraction	yes	0	0	current	constrained
tree-shipping-expression	demos/trees/shipping_cost_expression.mlpl	tagged-expression-tree	closed-composite-interpreter	yes	0	0	current	constrained
